SMILES_spectra,CAS,Molecular_Formula,Precursor_m/z,Spectrum,Ionization_Mode,Instrument_Type,Collision_Energy,SMILES_tox,Response_Modifier,Response,Response_Unit
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','214.0734','64.0067:0.816052 65.0145:5.320549 66.0098:18.725334 67.019:0.279596 68.0254:0.919986 69.0346:0.865061 78.0098:0.883700 79.0176:8.354467 80.0254:0.801960 90.0098:5.277852 91.0302:0.424220 92.0254:16.584201 105.0206:2.925266 106.0285:27.595305 107.0363:31.273252 115.0303:0.357220 117.0207:28.281086 119.0363:2.427437 121.0407:0.408805 132.0316:100.000000 133.0394:69.139956 134.0472:29.350784 142.041:1.979645 143.0363:1.525549 144.0316:3.364847 146.0472:1.737533 157.0392:0.237844 158.0472:0.620708 160.063:0.493074 169.0522:0.572419 170.047:1.270949 184.0632:1.054733','negative','LC-ESI-QFT','90','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','214.0734','64.0066:0.313715 65.0145:2.298303 66.0098:3.872397 67.019:0.161672 68.0256:0.224319 69.0346:0.651485 78.0098:0.126174 79.0176:4.098813 80.0255:0.291574 90.0098:1.797859 91.0302:0.284111 92.0254:10.793310 93.0457:0.177193 105.0208:0.589447 106.0285:18.525541 107.0363:23.867513 115.0303:0.203555 117.0207:16.801256 119.0364:1.469403 121.0407:0.461618 132.0316:63.212530 133.0394:100.000000 134.0472:47.978164 142.0411:2.553216 143.0365:1.360357 144.0315:2.554803 146.0472:1.853099 158.047:0.761872 159.0681:0.160072 160.0265:0.633453 160.0628:0.763933 169.0522:0.868304 170.0473:2.025204 172.0627:0.191780 184.0632:0.909456 186.0788:0.509709 187.0627:0.203051 195.0549:0.207646 196.063:0.657471','negative','LC-ESI-QFT','75','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','214.0734','64.0065:0.181194 65.0145:0.527326 66.0097:0.685365 69.0346:0.872464 79.0177:0.847062 90.0097:0.626098 92.0254:4.403668 93.0458:0.118565 106.0285:6.514951 107.0128:0.668652 107.0363:9.251546 117.0207:5.762637 119.0362:0.568166 121.0406:0.558236 132.0316:19.276416 133.0394:100.000000 134.0472:52.016299 142.041:2.210674 143.0363:0.440436 144.0316:1.599555 146.0472:1.272710 157.0391:0.136889 158.0473:0.855094 159.0679:0.271424 160.0265:0.693473 160.0628:0.995363 169.0519:1.510991 170.0472:3.373012 171.0555:0.160107 172.063:0.446700 173.0341:0.299208 184.0628:0.419040 186.0785:1.508744 187.0624:0.666575 195.0555:0.287080 196.0629:3.162471 198.0553:0.126480 199.0494:0.100845 214.0737:0.823038','negative','LC-ESI-QFT','60','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','214.0734','64.0065:0.132092 65.0145:0.255012 69.0346:0.658153 79.0174:0.143123 90.0096:0.171445 92.0255:1.694071 106.0285:1.346180 107.0125:0.225719 107.0363:2.514445 117.0206:2.628535 119.0361:0.258867 121.0407:0.546840 132.0316:3.628338 133.0394:100.000000 134.0472:66.212779 142.041:1.659897 143.0361:0.268653 144.0314:0.740030 146.0472:1.317170 158.0472:1.714009 159.0673:0.181621 160.0263:0.854673 160.0628:1.259022 169.0519:1.868530 170.0473:5.526573 171.0549:0.187561 171.0676:0.110459 172.0629:1.117604 173.0342:0.724685 184.063:0.185085 186.0785:4.033764 187.0625:2.302482 195.055:0.183097 196.0628:11.097180 198.055:0.155621 199.0502:0.252620 212.0575:0.168375 214.0735:10.561867','negative','LC-ESI-QFT','45','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','214.0734','69.0346:0.347949 92.0255:0.566186 106.0284:0.255441 107.0364:0.637918 117.0205:1.553757 119.0363:0.157706 121.0409:0.353117 132.0317:0.475281 133.0394:79.584341 134.0472:76.561529 142.0412:0.350889 144.0317:0.317404 146.0473:1.140374 158.0472:2.139594 160.0263:0.787204 160.063:1.146879 169.0522:0.900778 170.0473:7.677772 171.0546:0.159739 171.0677:0.181652 172.0629:0.767224 173.0344:1.599445 186.0785:6.483984 187.0626:3.026648 196.0629:29.074938 198.0555:0.132346 199.05:0.515189 212.0581:0.145179 214.0735:100.000000','negative','LC-ESI-QFT','30','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','214.0734','92.0254:0.109265 107.0364:0.152054 117.0202:0.471440 121.0406:0.142315 132.0319:0.174574 133.0394:25.918827 134.0472:27.714801 144.0314:0.113616 146.0471:0.272204 158.0473:0.807612 160.0265:0.216397 160.0628:0.377076 169.0518:0.226062 170.0473:2.908931 172.0625:0.229010 173.0343:0.660872 186.0786:2.673933 187.0627:0.681008 196.0629:13.725366 199.0499:0.276040 214.0735:100.000000','negative','LC-ESI-QFT','15','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','216.088','53.0386:30.075814 67.0291:0.287672 70.0651:0.292994 71.0491:0.104028 80.0494:0.143619 81.0335:100.000000 92.0242:0.408924 94.04:0.714070 96.0445:0.147030 107.0603:0.174931 118.0399:0.100148 119.0352:3.446555 121.0509:0.870969 135.0552:0.160343 135.0665:0.367194 136.0618:1.624669 137.0458:0.945918 144.0555:0.211185 145.051:0.216748 146.0587:0.295494 148.0617:1.643195 161.0822:0.138235 171.0666:0.279731 172.0616:0.759653 173.0695:0.625554 188.0932:0.155122','positive','LC-ESI-QFT','90','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','216.088','53.0386:14.145079 70.0651:0.238628 80.0495:0.111239 81.0335:100.000000 94.0399:0.269582 107.0604:0.125638 119.0352:1.412300 121.051:0.773878 135.0665:0.505978 136.0618:2.019517 137.0457:0.511706 144.0557:0.147317 146.0587:0.239474 148.0617:3.481940 161.0821:0.341918 171.0665:0.546048 172.0616:0.416409 173.0696:1.122473 188.093:0.606604','positive','LC-ESI-QFT','75','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','216.088','53.0386:5.979920 70.0652:0.132712 81.0335:100.000000 119.0353:0.390820 121.0509:0.411465 135.0664:0.542417 136.0617:2.118973 137.0455:0.240204 144.0553:0.151531 146.0588:0.121341 147.0666:0.101114 148.0617:6.321175 161.0821:0.332194 171.0664:0.797101 172.0619:0.149658 173.0696:1.749125 188.0931:2.341739 198.0771:0.232109 216.088:0.393585','positive','LC-ESI-QFT','60','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','216.088','53.0386:2.110021 81.0334:100.000000 119.0352:0.112542 135.0663:0.217148 136.0617:2.177050 137.0457:0.110323 148.0617:10.263338 161.082:0.110065 162.0775:0.139115 171.0663:0.550900 173.0695:1.969232 188.093:4.967640 198.0772:0.371710 216.0879:5.746620','positive','LC-ESI-QFT','45','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
